,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID
81942,USC00048702,40.4167,-120.6631,1283.8,CA,SUSANVILLE 2SW,,HCN,
81943,USC00048705,40.4,-120.6667,1278.0,CA,SUSANVILLE STATE RNG,,,
81944,USC00048713,38.3772,-120.8008,483.4,CA,SUTTER HILL CDF,,,
81945,USC00048748,34.3833,-117.6833,2288.1,CA,TABLE MTN,,,
81946,USC00048752,35.1503,-119.43,235.6,CA,TAFT,,,
81947,USC00048758,39.1678,-120.1428,1898.9,CA,TAHOE CITY,,HCN,
81948,USC00048760,39.06,-120.1292,1924.8,CA,TAHOMA,,,
81949,USC00048781,38.6,-119.9333,2457.9,CA,TAMARACK,,,
81950,USC00048826,35.1333,-118.45,1224.4,CA,TEHACHAPI,,,
81951,USC00048829,35.1011,-118.4222,1286.3,CA,TEHACHAPI 4 SE,,,
81952,USC00048832,35.1308,-118.4325,1207.0,CA,TEHACHAPI AP,,,
81953,USC00048839,35.0233,-118.7497,434.3,CA,TEJON RANCHO,,HCN,
81954,USC00048860,41.5833,-121.9167,1449.0,CA,TENNANT,,,
81955,USC00048873,40.8667,-120.4333,1615.4,CA,TERMO 1 E,,,
81956,USC00048875,40.9167,-120.2667,1634.9,CA,TERMO BRIN MARR,,,
81957,USC00048885,38.8039,-122.8128,530.4,CA,THE GEYSERS,,,
81958,USC00048904,34.1819,-118.8986,238.7,CA,THOUSAND OAKS 1 SW,,,
81959,USC00048905,34.2167,-118.8667,246.9,CA,THOUSAND OAKS,,,
81960,USC00048914,36.4667,-118.8833,289.9,CA,THREE RIVERS ED PH 2,,,
81961,USC00048917,36.465,-118.8619,347.5,CA,THREE RIVERS EDISON PH 1,,,
81962,USC00048928,38.4461,-120.4992,717.8,CA,TIGER CREEK PH,,,
81963,USC00048963,34.1333,-118.3167,396.8,CA,TOPANGA CANYON WOODLAN,,,
81964,USC00048967,34.0842,-118.5989,227.1,CA,TOPANGA PATROL FC-6,,,
81965,USC00048969,38.6,-119.4833,1539.8,CA,TOPAZ,,,
81966,USC00048970,38.6667,-119.55,1537.1,CA,TOPAZ LAKE,,,
81967,USC00048992,33.6583,-117.5894,295.7,CA,TRABUCO CANYON,,,
81968,USC00048996,37.7833,-121.4333,3.0,CA,TRACY,,,
81969,USC00048999,37.6819,-121.3467,41.1,CA,TRACY CARBONA,,,
81970,USC00049001,37.7958,-121.5831,18.6,CA,TRACY PUMPING PLT,,,
81971,USC00049023,41.0,-122.6833,702.0,CA,TRINITY CTR RS,,,
81972,USC00049024,40.8,-122.7667,762.9,CA,TRINITY DAM VISTA POIN,,,
81973,USC00049026,40.7264,-122.7947,567.2,CA,TRINITY RVR HATCHERY,,,
81974,USC00049035,35.7636,-117.3908,516.6,CA,TRONA,,,
81975,USC00049040,39.3181,-120.145,1798.3,CA,TRUCKEE-TAHOE AP DIST,,,
81976,USC00049043,39.3331,-120.173,1774.9,CA,TRUCKEE RS,,,
81977,USC00049047,34.2667,-118.2833,554.7,CA,TUJUNGA,,,
81978,USC00049049,34.3833,-118.0833,1415.8,CA,TUJUNGA MILL FC 470,,,
81979,USC00049050,34.3833,-118.0833,1508.8,CA,TUJUNGA SUMMIT FC 1029,,,
81980,USC00049052,35.15,-119.0167,92.0,CA,TULEFIELD,,,
81981,USC00049053,41.96,-121.4744,1229.9,CA,TULELAKE,,,
81982,USC00049056,41.9167,-121.5667,1229.0,CA,TULELAKE 5 WSW,,,
81983,USC00049063,37.8769,-119.3436,2649.9,CA,TUOLUMNE MEADOWS RS,,,
81984,USC00049065,37.8333,-120.1,951.9,CA,TUOLUMNE GROVELAND RS,,,
81985,USC00049073,37.5006,-120.855,35.1,CA,TURLOCK #2,,,
81986,USC00049083,40.7667,-122.3,326.1,CA,TURNTABLE CREEK,,,
81987,USC00049087,33.7025,-117.7539,71.6,CA,TUSTIN IRVINE RCH,,HCN,
81988,USC00049099,34.1281,-116.0369,602.0,CA,TWENTYNINE PALMS,,,
81989,USC00049102,34.1206,-115.85,419.4,CA,TWENTYNINE PALMS 12E - WONDER,,,
81990,USC00049105,38.7086,-120.0403,2438.4,CA,TWIN LAKES,,,
81991,USC00049111,34.9881,-120.3211,177.4,CA,TWITCHELL DAM,,,
81992,USC00049122,39.1467,-123.2103,193.9,CA,UKIAH,,HCN,
81993,USC00049124,39.1267,-123.2719,404.8,CA,UKIAH 4 WSW,,,
81994,USC00049125,39.1167,-123.25,427.0,CA,UKIAH 4 SW,,,
81995,USC00049126,39.15,-123.2833,473.0,CA,UKIAH 4 W,,,
81996,USC00049138,33.9333,-117.8667,217.0,CA,UNION OIL STEARNS ABS,,,
81997,USC00049152,34.0697,-118.4428,131.1,CA,U C L A,,,
81998,USC00049157,34.1333,-117.6833,561.1,CA,UPLAND,,,
81999,USC00049158,34.1333,-117.65,491.0,CA,UPLAND 3 N,,,
82000,USC00049167,39.1833,-123.0333,476.7,CA,UPPER LAKE 7 W,,,
82001,USC00049173,39.1906,-122.8964,406.9,CA,UPPER LAKE 2 N,,,
82002,USC00049177,40.25,-124.1833,77.7,CA,UPPER MATTOLE,,,
82003,USC00049182,39.2333,-121.2667,177.1,CA,HARRY ENGLEBRIGHT DM,,,
82004,USC00049185,37.7719,-122.1675,120.1,CA,UPPER SAN LEANDRO FILTERS,,,
82005,USC00049189,36.6333,-121.0333,616.0,CA,UPPER TRES PINOS,,,
82006,USC00049200,38.3956,-121.9608,33.5,CA,VACAVILLE,,HCN,
82007,USC00049219,38.1,-122.1869,103.9,CA,VALLEJO,,,
82008,USC00049221,35.8833,-120.7,292.9,CA,VALLETON,,,
82009,USC00049226,33.2217,-117.0381,393.2,CA,VALLEY CTR 1N,,,
82010,USC00049228,33.3,-117.0333,512.1,CA,VALLEY CTR 6 N,,,
82011,USC00049232,33.2333,-117.0167,424.0,CA,VALLEY CTR 2 NNE,,,
82012,USC00049250,34.45,-117.8667,1097.9,CA,VALYERMO FIRE STN 79,,,
82013,USC00049251,34.45,-117.85,1129.0,CA,VALYERMO RS,,,
82014,USC00049260,34.1833,-118.45,211.8,CA,VAN NUYS FC15A,,,
82015,USC00049273,38.6086,-123.0181,384.0,CA,VENADO,,,
82016,USC00049285,34.2825,-119.2919,32.0,CA,VENTURA,,,
82017,USC00049298,39.5214,-120.0269,1654.8,CA,VERDI 2W,,,
82018,USC00049325,34.5292,-117.2928,877.8,CA,VICTORVILLE,,,
82019,USC00049345,34.4883,-118.1419,962.3,CA,VINCENT FS FC 120,,,
82020,USC00049351,39.8056,-120.1858,1508.8,CA,VINTON,,,
82021,USC00049367,36.3283,-119.2997,92.4,CA,VISALIA,,,
82022,USC00049377,33.25,-117.25,36.9,CA,VISTA,,,
82023,USC00049378,33.2353,-117.2322,131.1,CA,VISTA,,,
82024,USC00049379,33.2,-117.25,121.9,CA,VISTA 1 W,,,
82025,USC00049382,38.9833,-120.7833,926.9,CA,VOLCANOVILLE,,,
82026,USC00049386,40.95,-122.45,409.0,CA,VOLLMERS,,,
82027,USC00049390,40.4583,-121.8664,676.7,CA,VOLTA PH,,,
82028,USC00049418,38.2,-120.9667,100.9,CA,WALLACE,,,
82029,USC00049420,37.95,-122.0833,36.9,CA,WALMAR SCHOOL,,,
82030,USC00049423,37.8833,-122.0333,74.7,CA,WALNUT CREEK 2 ESE,,,
82031,USC00049426,37.9,-122.0167,67.1,CA,WALNUT CREEK 2 ENE,,,
82032,USC00049427,37.9,-121.9833,121.9,CA,WALNUT CREEK 4 E,,,
82033,USC00049428,38.2333,-121.5167,6.1,CA,WALNUT GROVE,,,
82034,USC00049431,34.0017,-117.8658,148.7,CA,WALNUT NI FC102C,,,
82035,USC00049440,38.7161,-122.9975,68.3,CA,WARM SPRINGS DAM,,,
82036,USC00049447,33.2833,-116.6333,969.9,CA,WARNER SPRINGS,,,
82037,USC00049452,35.5892,-119.3519,88.7,CA,WASCO,,HCN,
82038,USC00049456,34.9667,-119.8667,719.3,CA,WASIOJA FORBES RANCH,,,
82039,USC00049468,36.8833,-121.8,21.0,CA,WATSONVILLE 3 SW,,,
82040,USC00049473,36.9308,-121.7692,29.0,CA,WATSONVILLE WTR WKS,,,
82041,USC00049481,37.5333,-119.6667,1189.9,CA,WAWONA,,,
82042,USC00049482,37.54,-119.6522,1214.6,CA,WAWONA RS,,,
82043,USC00049490,40.7367,-122.9403,627.3,CA,WEAVERVILLE,,HCN,
82044,USC00049498,41.4333,-122.3833,1071.1,CA,WEED,,,
82045,USC00049499,41.4333,-122.3833,1093.9,CA,WEED FIRE DEPT,,,
82046,USC00049512,35.6667,-118.3,816.9,CA,WELDON 1 WSW,,,
82047,USC00049526,40.2667,-120.0667,1232.0,CA,WENDEL 10 SE,,,
82048,USC00049540,39.9333,-121.5333,982.1,CA,WEST BRANCH,,,
82049,USC00049560,36.2272,-119.9967,86.9,CA,WESTHAVEN,,,
82050,USC00049582,38.3775,-120.5453,845.8,CA,W PT,,,
82051,USC00049583,38.3833,-120.5667,723.0,CA,WEST POINT 3 SW,,,
82052,USC00049599,40.3,-121.0,1545.9,CA,WESTWOOD,,,
82053,USC00049600,40.3,-121.05,1521.9,CA,WESTWOOD 3 WSW,,,
82054,USC00049604,39.0167,-121.4333,25.6,CA,WHEATLAND,,,
82055,USC00049605,39.0278,-121.3908,32.0,CA,WHEATLAND 2 NE,,,
82056,USC00049612,39.8833,-123.9167,14.9,CA,WHEELER,,,
82057,USC00049615,34.4833,-119.3,266.7,CA,WHEELER SPRINGS 2 SSW,,,
82058,USC00049618,34.6,-119.3333,1264.9,CA,WHEELER SPRINGS 7 N,,,
82059,USC00049620,40.6333,-122.55,331.9,CA,WHISKEYTOWN,,,
82060,USC00049621,40.6117,-122.5281,394.7,CA,WHISKEYTOWN RSVR,,,
82061,USC00049632,37.5,-118.1833,3093.7,CA,WHITE MTN 1,,,
82062,USC00049633,37.5833,-118.2333,3800.9,CA,WHITE MTN 2,,,
