YearMonth,temp_bins,0
198410,90-99F,0
198410,>100F,0
198411,20-29F,0
198411,30-39F,0
198411,40-49F,3
198411,50-59F,17
198411,60-69F,9
198411,70-79F,1
198411,80-89F,0
198411,90-99F,0
198411,>100F,0
198412,20-29F,0
198412,30-39F,4
198412,40-49F,14
198412,50-59F,13
198412,60-69F,0
198412,70-79F,0
198412,80-89F,0
198412,90-99F,0
198412,>100F,0
198501,20-29F,0
198501,30-39F,3
198501,40-49F,14
198501,50-59F,13
198501,60-69F,1
198501,70-79F,0
198501,80-89F,0
198501,90-99F,0
198501,>100F,0
198502,20-29F,0
198502,30-39F,0
198502,40-49F,2
198502,50-59F,11
198502,60-69F,12
198502,70-79F,3
198502,80-89F,0
198502,90-99F,0
198502,>100F,0
198503,20-29F,0
198503,30-39F,0
198503,40-49F,4
198503,50-59F,17
198503,60-69F,9
198503,70-79F,1
198503,80-89F,0
198503,90-99F,0
198503,>100F,0
198504,20-29F,0
198504,30-39F,0
198504,40-49F,0
198504,50-59F,3
198504,60-69F,10
198504,70-79F,10
198504,80-89F,7
198504,90-99F,0
198504,>100F,0
198505,20-29F,0
198505,30-39F,0
198505,40-49F,0
198505,50-59F,1
198505,60-69F,16
198505,70-79F,9
198505,80-89F,5
198505,90-99F,0
198505,>100F,0
198506,20-29F,0
198506,30-39F,0
198506,40-49F,0
198506,50-59F,0
198506,60-69F,2
198506,70-79F,8
198506,80-89F,10
198506,90-99F,9
198506,>100F,1
198507,20-29F,0
198507,30-39F,0
198507,40-49F,0
198507,50-59F,0
198507,60-69F,0
198507,70-79F,6
198507,80-89F,13
198507,90-99F,12
198507,>100F,0
198508,20-29F,0
198508,30-39F,0
198508,40-49F,0
198508,50-59F,0
198508,60-69F,0
198508,70-79F,11
198508,80-89F,14
198508,90-99F,6
198508,>100F,0
198509,20-29F,0
198509,30-39F,0
198509,40-49F,0
198509,50-59F,0
198509,60-69F,8
198509,70-79F,13
198509,80-89F,8
198509,90-99F,1
198509,>100F,0
198510,20-29F,0
198510,30-39F,0
198510,40-49F,0
198510,50-59F,2
198510,60-69F,11
198510,70-79F,12
198510,80-89F,5
198510,90-99F,1
198510,>100F,0
198511,20-29F,0
198511,30-39F,0
198511,40-49F,10
198511,50-59F,13
198511,60-69F,1
