,YearMonth,temp_bins,0
552,198510,30-39F,0
553,198510,40-49F,0
554,198510,50-59F,0
555,198510,60-69F,17
556,198510,70-79F,10
557,198510,80-89F,2
558,198510,90-99F,2
559,198510,>100F,0
560,198511,30-39F,0
561,198511,40-49F,0
562,198511,50-59F,21
563,198511,60-69F,2
564,198511,70-79F,7
565,198511,80-89F,0
566,198511,90-99F,0
567,198511,>100F,0
568,198512,30-39F,0
569,198512,40-49F,1
570,198512,50-59F,25
571,198512,60-69F,5
572,198512,70-79F,0
573,198512,80-89F,0
574,198512,90-99F,0
575,198512,>100F,0
576,198601,30-39F,0
577,198601,40-49F,0
578,198601,50-59F,13
579,198601,60-69F,18
580,198601,70-79F,0
581,198601,80-89F,0
582,198601,90-99F,0
583,198601,>100F,0
584,198602,30-39F,0
585,198602,40-49F,0
586,198602,50-59F,14
587,198602,60-69F,9
588,198602,70-79F,5
589,198602,80-89F,0
590,198602,90-99F,0
591,198602,>100F,0
592,198603,30-39F,0
593,198603,40-49F,0
594,198603,50-59F,5
595,198603,60-69F,16
596,198603,70-79F,10
597,198603,80-89F,0
598,198603,90-99F,0
599,198603,>100F,0
600,198604,30-39F,0
601,198604,40-49F,0
602,198604,50-59F,2
603,198604,60-69F,24
604,198604,70-79F,3
605,198604,80-89F,1
606,198604,90-99F,0
607,198604,>100F,0
608,198605,30-39F,0
609,198605,40-49F,0
610,198605,50-59F,0
611,198605,60-69F,19
612,198605,70-79F,11
613,198605,80-89F,1
614,198605,90-99F,0
615,198605,>100F,0
616,198606,30-39F,0
617,198606,40-49F,0
618,198606,50-59F,0
619,198606,60-69F,13
620,198606,70-79F,14
621,198606,80-89F,3
622,198606,90-99F,0
623,198606,>100F,0
624,198607,30-39F,0
625,198607,40-49F,0
626,198607,50-59F,0
627,198607,60-69F,5
628,198607,70-79F,25
629,198607,80-89F,1
630,198607,90-99F,0
631,198607,>100F,0
632,198608,30-39F,0
633,198608,40-49F,0
634,198608,50-59F,0
635,198608,60-69F,5
636,198608,70-79F,26
637,198608,80-89F,0
638,198608,90-99F,0
639,198608,>100F,0
640,198609,30-39F,0
641,198609,40-49F,0
642,198609,50-59F,0
643,198609,60-69F,17
644,198609,70-79F,13
645,198609,80-89F,0
646,198609,90-99F,0
647,198609,>100F,0
648,198610,30-39F,0
649,198610,40-49F,0
650,198610,50-59F,0
651,198610,60-69F,15
652,198610,70-79F,12
653,198610,80-89F,4
654,198610,90-99F,0
655,198610,>100F,0
656,198611,30-39F,0
657,198611,40-49F,0
658,198611,50-59F,1
659,198611,60-69F,19
660,198611,70-79F,10
661,198611,80-89F,0
662,198611,90-99F,0
663,198611,>100F,0
664,198612,30-39F,0
665,198612,40-49F,1
666,198612,50-59F,19
667,198612,60-69F,11
668,198612,70-79F,0
669,198612,80-89F,0
670,198612,90-99F,0
671,198612,>100F,0
672,198701,30-39F,0
673,198701,40-49F,1
674,198701,50-59F,27
675,198701,60-69F,3
676,198701,70-79F,0
677,198701,80-89F,0
678,198701,90-99F,0
679,198701,>100F,0
680,198702,30-39F,0
681,198702,40-49F,0
682,198702,50-59F,14
683,198702,60-69F,13
684,198702,70-79F,1
685,198702,80-89F,0
686,198702,90-99F,0
687,198702,>100F,0
688,198703,30-39F,0
689,198703,40-49F,0
690,198703,50-59F,13
691,198703,60-69F,12
692,198703,70-79F,6
693,198703,80-89F,0
694,198703,90-99F,0
695,198703,>100F,0
696,198704,30-39F,0
697,198704,40-49F,0
698,198704,50-59F,0
699,198704,60-69F,13
700,198704,70-79F,14
701,198704,80-89F,3
702,198704,90-99F,0
703,198704,>100F,0
704,198705,30-39F,0
705,198705,40-49F,0
706,198705,50-59F,0
707,198705,60-69F,18
708,198705,70-79F,8
709,198705,80-89F,5
710,198705,90-99F,0
711,198705,>100F,0
712,198706,30-39F,0
713,198706,40-49F,0
714,198706,50-59F,0
715,198706,60-69F,12
716,198706,70-79F,17
717,198706,80-89F,1
718,198706,90-99F,0
719,198706,>100F,0
720,198707,30-39F,0
721,198707,40-49F,0
722,198707,50-59F,0
723,198707,60-69F,5
724,198707,70-79F,26
725,198707,80-89F,0
726,198707,90-99F,0
727,198707,>100F,0
728,198708,30-39F,0
729,198708,40-49F,0
730,198708,50-59F,0
731,198708,60-69F,3
732,198708,70-79F,25
733,198708,80-89F,3
734,198708,90-99F,0
735,198708,>100F,0
736,198709,30-39F,0
737,198709,40-49F,0
738,198709,50-59F,0
739,198709,60-69F,4
740,198709,70-79F,22
741,198709,80-89F,4
742,198709,90-99F,0
743,198709,>100F,0
744,198710,30-39F,0
745,198710,40-49F,0
746,198710,50-59F,0
747,198710,60-69F,16
748,198710,70-79F,11
749,198710,80-89F,1
750,198710,90-99F,3
751,198710,>100F,0
752,198711,30-39F,0
753,198711,40-49F,0
754,198711,50-59F,2
755,198711,60-69F,28
756,198711,70-79F,0
757,198711,80-89F,0
758,198711,90-99F,0
759,198711,>100F,0
760,198712,30-39F,0
761,198712,40-49F,2
762,198712,50-59F,24
763,198712,60-69F,5
764,198712,70-79F,0
765,198712,80-89F,0
766,198712,90-99F,0
767,198712,>100F,0
768,198801,30-39F,0
769,198801,40-49F,3
770,198801,50-59F,20
771,198801,60-69F,8
772,198801,70-79F,0
773,198801,80-89F,0
774,198801,90-99F,0
775,198801,>100F,0
776,198802,30-39F,0
777,198802,40-49F,0
778,198802,50-59F,4
779,198802,60-69F,22
780,198802,70-79F,3
781,198802,80-89F,0
782,198802,90-99F,0
783,198802,>100F,0
784,198803,30-39F,0
785,198803,40-49F,0
786,198803,50-59F,1
787,198803,60-69F,21
788,198803,70-79F,9
789,198803,80-89F,0
790,198803,90-99F,0
791,198803,>100F,0
792,198804,30-39F,0
793,198804,40-49F,0
794,198804,50-59F,2
795,198804,60-69F,20
796,198804,70-79F,5
797,198804,80-89F,3
798,198804,90-99F,0
799,198804,>100F,0
800,198805,30-39F,0
801,198805,40-49F,0
802,198805,50-59F,3
803,198805,60-69F,17
804,198805,70-79F,9
805,198805,80-89F,2
806,198805,90-99F,0
807,198805,>100F,0
808,198806,30-39F,0
809,198806,40-49F,0
810,198806,50-59F,0
811,198806,60-69F,12
812,198806,70-79F,18
813,198806,80-89F,0
814,198806,90-99F,0
815,198806,>100F,0
816,198807,30-39F,0
817,198807,40-49F,0
818,198807,50-59F,0
819,198807,60-69F,2
820,198807,70-79F,24
821,198807,80-89F,3
822,198807,90-99F,2
823,198807,>100F,0
824,198808,30-39F,0
825,198808,40-49F,0
826,198808,50-59F,0
827,198808,60-69F,5
828,198808,70-79F,22
829,198808,80-89F,4
830,198808,90-99F,0
831,198808,>100F,0
832,198809,30-39F,0
833,198809,40-49F,0
834,198809,50-59F,0
835,198809,60-69F,7
836,198809,70-79F,18
837,198809,80-89F,5
838,198809,90-99F,0
839,198809,>100F,0
840,198810,30-39F,0
841,198810,40-49F,0
842,198810,50-59F,1
843,198810,60-69F,16
844,198810,70-79F,10
845,198810,80-89F,4
846,198810,90-99F,0
847,198810,>100F,0
848,198811,30-39F,0
849,198811,40-49F,0
850,198811,50-59F,16
851,198811,60-69F,11
852,198811,70-79F,3
853,198811,80-89F,0
854,198811,90-99F,0
855,198811,>100F,0
856,198812,30-39F,0
857,198812,40-49F,7
858,198812,50-59F,10
859,198812,60-69F,14
860,198812,70-79F,0
861,198812,80-89F,0
862,198812,90-99F,0
863,198812,>100F,0
864,198901,30-39F,0
865,198901,40-49F,4
866,198901,50-59F,21
867,198901,60-69F,6
868,198901,70-79F,0
869,198901,80-89F,0
870,198901,90-99F,0
871,198901,>100F,0
872,198902,30-39F,0
873,198902,40-49F,8
874,198902,50-59F,14
875,198902,60-69F,6
876,198902,70-79F,0
877,198902,80-89F,0
878,198902,90-99F,0
879,198902,>100F,0
880,198903,30-39F,0
881,198903,40-49F,0
882,198903,50-59F,10
883,198903,60-69F,21
884,198903,70-79F,0
885,198903,80-89F,0
886,198903,90-99F,0
887,198903,>100F,0
888,198904,30-39F,0
889,198904,40-49F,0
890,198904,50-59F,3
891,198904,60-69F,19
892,198904,70-79F,3
893,198904,80-89F,5
894,198904,90-99F,0
895,198904,>100F,0
896,198905,30-39F,0
897,198905,40-49F,0
898,198905,50-59F,0
899,198905,60-69F,23
900,198905,70-79F,8
901,198905,80-89F,0
902,198905,90-99F,0
903,198905,>100F,0
904,198906,30-39F,0
905,198906,40-49F,0
906,198906,50-59F,0
907,198906,60-69F,15
908,198906,70-79F,11
909,198906,80-89F,3
910,198906,90-99F,1
911,198906,>100F,0
912,198907,30-39F,0
913,198907,40-49F,0
914,198907,50-59F,0
915,198907,60-69F,1
916,198907,70-79F,26
917,198907,80-89F,4
918,198907,90-99F,0
919,198907,>100F,0
920,198908,30-39F,0
921,198908,40-49F,0
922,198908,50-59F,0
923,198908,60-69F,5
924,198908,70-79F,24
925,198908,80-89F,2
926,198908,90-99F,0
927,198908,>100F,0
928,198909,30-39F,0
929,198909,40-49F,0
930,198909,50-59F,0
931,198909,60-69F,10
932,198909,70-79F,19
933,198909,80-89F,1
934,198909,90-99F,0
935,198909,>100F,0
936,198910,30-39F,0
937,198910,40-49F,0
938,198910,50-59F,0
939,198910,60-69F,17
940,198910,70-79F,10
941,198910,80-89F,4
942,198910,90-99F,0
943,198910,>100F,0
944,198911,30-39F,0
945,198911,40-49F,0
946,198911,50-59F,7
947,198911,60-69F,12
948,198911,70-79F,11
949,198911,80-89F,0
950,198911,90-99F,0
951,198911,>100F,0
952,198912,30-39F,0
953,198912,40-49F,0
954,198912,50-59F,16
955,198912,60-69F,15
956,198912,70-79F,0
957,198912,80-89F,0
958,198912,90-99F,0
959,198912,>100F,0
960,199001,30-39F,0
961,199001,40-49F,0
962,199001,50-59F,25
963,199001,60-69F,6
964,199001,70-79F,0
965,199001,80-89F,0
966,199001,90-99F,0
967,199001,>100F,0
968,199002,30-39F,0
969,199002,40-49F,3
970,199002,50-59F,17
971,199002,60-69F,8
972,199002,70-79F,0
973,199002,80-89F,0
974,199002,90-99F,0
975,199002,>100F,0
976,199003,30-39F,0
977,199003,40-49F,0
978,199003,50-59F,13
979,199003,60-69F,18
980,199003,70-79F,0
981,199003,80-89F,0
982,199003,90-99F,0
983,199003,>100F,0
984,199004,30-39F,0
985,199004,40-49F,0
986,199004,50-59F,0
987,199004,60-69F,18
988,199004,70-79F,11
989,199004,80-89F,1
990,199004,90-99F,0
991,199004,>100F,0
992,199005,30-39F,0
993,199005,40-49F,0
994,199005,50-59F,2
995,199005,60-69F,20
996,199005,70-79F,6
997,199005,80-89F,3
998,199005,90-99F,0
999,199005,>100F,0
1000,199006,30-39F,0
1001,199006,40-49F,0
1002,199006,50-59F,0
1003,199006,60-69F,8
1004,199006,70-79F,18
1005,199006,80-89F,4
1006,199006,90-99F,0
1007,199006,>100F,0
1008,199007,30-39F,0
1009,199007,40-49F,0
1010,199007,50-59F,0
1011,199007,60-69F,3
1012,199007,70-79F,24
1013,199007,80-89F,4
1014,199007,90-99F,0
1015,199007,>100F,0
1016,199008,30-39F,0
1017,199008,40-49F,0
1018,199008,50-59F,0
1019,199008,60-69F,2
1020,199008,70-79F,23
1021,199008,80-89F,6
1022,199008,90-99F,0
1023,199008,>100F,0
1024,199009,30-39F,0
1025,199009,40-49F,0
1026,199009,50-59F,0
1027,199009,60-69F,0
1028,199009,70-79F,26
1029,199009,80-89F,4
1030,199009,90-99F,0
