,YearMonth,prcp_bins,0
1068,200909,0mm,11
1069,200909,1-4mm,19
1070,200909,5-14mm,0
1071,200910,0mm,11
1072,200910,1-4mm,19
1073,200910,5-14mm,1
1074,200911,0mm,0
1075,200911,1-4mm,30
1076,200911,5-14mm,0
1077,200912,0mm,2
1078,200912,1-4mm,29
1079,200912,5-14mm,0
