YearMonth,prcp_bins,0
199005,5-14mm,3
199005,15-29mm,1
199005,>30mm,0
199006,0mm,29
199006,1-4mm,1
199006,5-14mm,0
199006,15-29mm,0
199006,>30mm,0
199007,0mm,30
199007,1-4mm,1
199007,5-14mm,0
199007,15-29mm,0
199007,>30mm,0
199008,0mm,30
199008,1-4mm,1
199008,5-14mm,0
199008,15-29mm,0
199008,>30mm,0
199009,0mm,28
199009,1-4mm,2
199009,5-14mm,0
199009,15-29mm,0
199009,>30mm,0
199010,0mm,28
199010,1-4mm,3
199010,5-14mm,0
199010,15-29mm,0
199010,>30mm,0
199011,0mm,20
199011,1-4mm,10
199011,5-14mm,0
199011,15-29mm,0
199011,>30mm,0
199012,0mm,23
199012,1-4mm,4
199012,5-14mm,4
199012,15-29mm,0
199012,>30mm,0
199101,0mm,21
199101,1-4mm,9
199101,5-14mm,1
199101,15-29mm,0
199101,>30mm,0
199102,0mm,20
199102,1-4mm,3
199102,5-14mm,3
199102,15-29mm,2
199102,>30mm,0
199103,0mm,9
199103,1-4mm,8
199103,5-14mm,10
199103,15-29mm,4
199103,>30mm,0
199104,0mm,21
199104,1-4mm,8
199104,5-14mm,1
199104,15-29mm,0
199104,>30mm,0
199105,0mm,20
199105,1-4mm,11
199105,5-14mm,0
199105,15-29mm,0
199105,>30mm,0
199106,0mm,26
199106,1-4mm,4
199106,5-14mm,0
199106,15-29mm,0
199106,>30mm,0
199107,0mm,28
199107,1-4mm,3
199107,5-14mm,0
199107,15-29mm,0
199107,>30mm,0
199108,0mm,26
199108,1-4mm,5
199108,5-14mm,0
199108,15-29mm,0
199108,>30mm,0
199109,0mm,28
199109,1-4mm,2
199109,5-14mm,0
199109,15-29mm,0
199109,>30mm,0
199110,0mm,26
199110,1-4mm,4
199110,5-14mm,0
199110,15-29mm,0
199110,>30mm,1
199111,0mm,23
199111,1-4mm,6
199111,5-14mm,1
199111,15-29mm,0
199111,>30mm,0
199112,0mm,22
199112,1-4mm,7
199112,5-14mm,0
199112,15-29mm,2
199112,>30mm,0
199201,0mm,21
199201,1-4mm,8
199201,5-14mm,1
199201,15-29mm,1
199201,>30mm,0
199202,0mm,10
199202,1-4mm,10
199202,5-14mm,6
199202,15-29mm,3
199202,>30mm,0
199203,0mm,12
199203,1-4mm,14
199203,5-14mm,4
199203,15-29mm,1
199203,>30mm,0
199204,0mm,24
199204,1-4mm,5
199204,5-14mm,1
199204,15-29mm,0
199204,>30mm,0
199205,0mm,31
199205,1-4mm,0
199205,5-14mm,0
199205,15-29mm,0
199205,>30mm,0
199206,0mm,25
199206,1-4mm,5
199206,5-14mm,0
199206,15-29mm,0
199206,>30mm,0
199207,0mm,31
199207,1-4mm,0
199207,5-14mm,0
199207,15-29mm,0
199207,>30mm,0
199208,0mm,29
199208,1-4mm,2
199208,5-14mm,0
199208,15-29mm,0
199208,>30mm,0
199209,0mm,29
199209,1-4mm,1
199209,5-14mm,0
199209,15-29mm,0
199209,>30mm,0
199210,0mm,24
199210,1-4mm,5
199210,5-14mm,1
199210,15-29mm,1
199210,>30mm,0
199211,0mm,23
199211,1-4mm,7
199211,5-14mm,0
199211,15-29mm,0
199211,>30mm,0
199212,0mm,14
199212,1-4mm,6
199212,5-14mm,8
199212,15-29mm,3
199212,>30mm,0
199301,0mm,10
199301,1-4mm,9
199301,5-14mm,9
199301,15-29mm,2
199301,>30mm,1
199302,0mm,9
199302,1-4mm,12
199302,5-14mm,5
199302,15-29mm,2
199302,>30mm,0
199303,0mm,16
199303,1-4mm,10
199303,5-14mm,5
199303,15-29mm,0
199303,>30mm,0
199304,0mm,20
199304,1-4mm,8
199304,5-14mm,2
199304,15-29mm,0
199304,>30mm,0
199305,0mm,20
199305,1-4mm,10
199305,5-14mm,1
199305,15-29mm,0
199305,>30mm,0
199306,0mm,25
199306,1-4mm,5
199306,5-14mm,0
199306,15-29mm,0
199306,>30mm,0
199307,0mm,31
199307,1-4mm,0
199307,5-14mm,0
199307,15-29mm,0
