YearMonth,temp_bins,0
198907,40-49F,0
198907,50-59F,0
198907,60-69F,0
198907,70-79F,19
198907,80-89F,10
198907,90-99F,2
198907,>100F,0
198908,30-39F,0
198908,40-49F,0
198908,50-59F,0
198908,60-69F,0
198908,70-79F,25
198908,80-89F,6
198908,90-99F,0
198908,>100F,0
198909,30-39F,0
198909,40-49F,0
198909,50-59F,0
198909,60-69F,5
198909,70-79F,16
198909,80-89F,9
198909,90-99F,0
198909,>100F,0
198910,30-39F,0
198910,40-49F,0
198910,50-59F,0
198910,60-69F,15
198910,70-79F,11
198910,80-89F,5
198910,90-99F,0
198910,>100F,0
198911,30-39F,0
198911,40-49F,0
198911,50-59F,7
198911,60-69F,13
198911,70-79F,10
198911,80-89F,0
198911,90-99F,0
198911,>100F,0
198912,30-39F,0
198912,40-49F,0
198912,50-59F,19
198912,60-69F,12
198912,70-79F,0
198912,80-89F,0
198912,90-99F,0
198912,>100F,0
199001,30-39F,0
199001,40-49F,0
199001,50-59F,24
199001,60-69F,7
199001,70-79F,0
199001,80-89F,0
199001,90-99F,0
199001,>100F,0
199002,30-39F,0
199002,40-49F,4
199002,50-59F,14
199002,60-69F,10
199002,70-79F,0
199002,80-89F,0
199002,90-99F,0
199002,>100F,0
199003,30-39F,0
199003,40-49F,0
199003,50-59F,11
199003,60-69F,18
199003,70-79F,2
199003,80-89F,0
199003,90-99F,0
199003,>100F,0
199004,30-39F,0
199004,40-49F,0
199004,50-59F,0
199004,60-69F,16
199004,70-79F,12
199004,80-89F,2
199004,90-99F,0
199004,>100F,0
199005,30-39F,0
199005,40-49F,0
199005,50-59F,2
199005,60-69F,18
199005,70-79F,6
199005,80-89F,5
199005,90-99F,0
199005,>100F,0
199006,30-39F,0
199006,40-49F,0
199006,50-59F,0
199006,60-69F,4
199006,70-79F,20
199006,80-89F,5
199006,90-99F,1
199006,>100F,0
199007,30-39F,0
199007,40-49F,0
199007,50-59F,0
199007,60-69F,0
199007,70-79F,21
199007,80-89F,7
199007,90-99F,3
199007,>100F,0
199008,30-39F,0
199008,40-49F,0
199008,50-59F,0
199008,60-69F,1
199008,70-79F,15
199008,80-89F,12
199008,90-99F,3
199008,>100F,0
199009,30-39F,0
199009,40-49F,0
199009,50-59F,0
199009,60-69F,0
199009,70-79F,19
199009,80-89F,11
199009,90-99F,0
199009,>100F,0
199010,30-39F,0
199010,40-49F,0
199010,50-59F,0
199010,60-69F,5
199010,70-79F,19
199010,80-89F,7
